Event ID,Event Name,Log Source,Event Count,Time,Low Level Category,Source IP,Source Port,Destination IP,Destination Port,Protocol,Magnitude,Bytes Sent,Bytes Received,Duration Seconds
1000,File Transfer,Flow Analyzer,1,2026-06-10 00:00:00,File Transfer,192.168.1.45,63305,172.16.0.118,443,UDP,3,1338640,1619827,125
1001,Web Traffic,Flow Analyzer,1,2026-06-10 00:00:03,Web Traffic,192.168.1.29,63470,172.16.0.120,3306,UDP,2,1930700,3943020,292
1002,Application Traffic,Flow Analyzer,1,2026-06-10 00:00:08,Application Traffic,192.168.1.75,55853,172.16.0.125,3306,UDP,2,3247666,2968382,28
1003,Database Query,Flow Analyzer,1,2026-06-10 00:00:14,Database Query,192.168.1.59,63160,172.16.0.116,443,TCP,1,552481,566752,157
1004,Database Query,Flow Analyzer,1,2026-06-10 00:00:17,Database Query,192.168.1.25,43834,172.16.0.100,443,TCP,1,700360,2247083,328
1005,Application Traffic,Flow Analyzer,1,2026-06-10 00:00:24,Application Traffic,192.168.1.21,43404,172.16.0.104,3306,UDP,1,799238,2245003,128
1006,SMB Access,Flow Analyzer,1,2026-06-10 00:00:29,SMB Access,192.168.1.27,52378,172.16.0.103,1433,UDP,1,1938263,1467900,352
1007,File Transfer,Flow Analyzer,1,2026-06-10 00:00:34,File Transfer,192.168.1.55,47056,172.16.0.110,80,UDP,3,4504070,1891713,111
1008,Web Traffic,Flow Analyzer,1,2026-06-10 00:00:40,Web Traffic,192.168.1.81,50297,172.16.0.111,80,TCP,1,2969379,1902319,150
1009,Application Traffic,Flow Analyzer,1,2026-06-10 00:00:43,Application Traffic,192.168.1.73,58978,172.16.0.120,1433,UDP,1,1255624,1445129,202
1010,Application Traffic,Flow Analyzer,1,2026-06-10 00:00:44,Application Traffic,192.168.1.48,40491,172.16.0.103,3306,TCP,1,2335401,331606,205
1011,SMB Access,Flow Analyzer,1,2026-06-10 00:00:48,SMB Access,192.168.1.104,59726,172.16.0.108,80,UDP,1,3090769,1781262,41
1012,Web Traffic,Flow Analyzer,1,2026-06-10 00:00:55,Web Traffic,192.168.1.59,45317,172.16.0.116,1433,TCP,4,4733288,135433,26
1013,SMB Access,Flow Analyzer,1,2026-06-10 00:01:03,SMB Access,192.168.1.43,58267,172.16.0.114,1433,UDP,2,2053584,3477711,494
